Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
YB Datuk Dr. Radzi Jidin,,F-2,P125,Putrajaya,Putrajaya,-,-,drjputrajaya@gmail.com,"Lot T.01-U.01, P9 E/1, Presint 9, 62250,Putrajaya",/images/webuser/ahli/2022/P125.png,15.0,PN,FB : Dr. Radzi Jidin  Twitter : @RadziJidin  IG : radzi.jidin,
YB Datuk Wira Mas Ermieyati binti Samsudin,,G-7,P134,Masjid Tanah,Melaka,06-3846050,06-3846010,amysudin2@yahoo.com,"MT 2193, Jalan Taman Bandar Baru, 78300, Masjid Tanah, Melaka",/images/webuser/ahli/2022/P134.png,15.0,PN,,
YB Tuan Haji Bakri bin Jamaluddin,,E-13,P136,Tangga Batu,Melaka,-,-,bakri.j64@gmail.com,"1364-1, KM 18, Jalan Haji Abdul Halim, 76300 Sungai Udang, Melaka.",/images/webuser/ahli/2022/P136.jpg,15.0,PN,,
YB Tuan Zulkifli bin Ismail,,F-15,P139,Jasin,Melaka,013-9315206,-,abuabdulhalim24@gmail.com,"Baitul Qurra' wal Fuqoha, Lorong Kiyai Hj. Abdul Rahman, Kampung Paya Rumput Jaya,76450 Sungai Udang, Melaka",/images/webuser/ahli/2022/P139.jpg,15.0,PN,FB : //www.facebook.com/ustazZulkifliIsmail,
YB Tan Sri Dato' Haji Mahiaddin bin Md Yasin,,G-2,P143,Pagoh,Johor,-,-,muhyddin.tsmy@gmail.com,"No.5, Jalan Setiabakti 7, Bukit Damansara, 50490 Kuala Lumpur.",/images/webuser/ahli/2022/P143.png,15.0,PN,,
YB Tuan Haji Muhammad Islahuddin bin Abas,,G-24,P154,Mersing,Johor,-,-,p154.parlimenmersing@gmail.com,"Pusat Khidmat Ahli Parlimen Mersing, No. 26 Tingkat 2, Jalan Ismail, 86800 Mersing, Johor",/images/webuser/ahli/2022/P154.jpg,15.0,PN,FB : //www.facebook.com/islahuddin.abas,
YB Datuk Seri Dr. Ronald Kiandee,,G-5,P183,Beluran,Sabah,-,-,rkiandee@yahoo.com,"Pusat Khidmat Rakyat, Lot F1 & F2, Tingkat 1, Bangunan Soh Ah Chai, Jalan Lama, 90100 Beluran, Sabah",/images/webuser/ahli/2022/P183.png,15.0,PN,,
YB Datuk Ali anak Biju,,G-10,P205,Saratok,Sarawak,086-312848,086-311848,parlimen205.saratok@gmail.com,"Ist Floor, S/L 254, Lot 947, Kemena Commercial Centre, TG. Batu, P.0 Box 538,97008 Bintulu, Sarawak",/images/webuser/ahli/2022/P205.png,15.0,PN,,
YB Tuan Syed Saddiq bin Syed Abdul Rahman,,E-38,P146,Muar,Johor,-,-,syedsaddiq92@gmail.com,"Pusat Khidmat Ahli Parlimen Muar, G-6, No.1, Lot 3352, Jalan Abdul Rahman, 84000 Muar, Johor",/images/webuser/ahli/2022/P146.png,15.0,MUDA,,
YB Dato' Verdon bin Bahanda,,D-58,P167,Kudat,Sabah,088-311233,088-396383,dt.verdonbahanda@gmail.com,"Shoplot No.2, First Floor, Lorong Iramanis 2, Taman Iramanis, Jalan Ulam Raja, Kolombong, 88450 Kota Kinabalu, Sabah.",/images/webuser/ahli/2022/P167.jpg,15.0,BEBAS,FB : www.facebook.com/VERDON BAHANDA,
YB Tuan Riduan bin Rubin,,D-57,P181,Tenom,Sabah,-,-,riduan.rubin@gmail.com,"Lot 47, Lorong Raja Udang 10, Taman Kingfisher 2, 88450 Likas, Sabah.",/images/webuser/ahli/2022/P181.jpg,15.0,BEBAS,,
